App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
55316,-0.087,0,1.19
55350,-0.091,0.007,1.193
55386,-0.08,0.015,1.192
55417,-0.101,-0.01,1.18
55453,-0.118,0.016,1.173
55483,-0.104,0.003,1.153
55516,-0.137,0.012,1.128
55549,-0.117,0.035,1.138
55581,-0.133,0.046,1.147
55621,-0.137,0.053,1.125
55651,-0.115,0.032,1.127
55683,-0.132,0.043,1.117
55718,-0.129,0.046,1.118
55750,-0.125,0.038,1.12
55782,-0.126,0.037,1.123
55817,-0.123,0.04,1.125
55854,-0.128,0.037,1.125
55884,-0.127,0.041,1.131
55918,-0.13,0.032,1.121
55950,-0.138,0.037,1.136
55983,-0.125,0.025,1.14
56022,-0.139,0.027,1.134
56053,-0.126,0.03,1.188
56083,-0.166,0.032,1.156
56116,-0.153,0.017,1.16
56149,-0.164,0.009,1.175
56185,-0.185,0.013,1.172
56221,-0.186,0.001,1.164
56251,-0.214,0.038,1.205
56283,-0.178,0.007,1.189
56319,-0.2,0.002,1.221
56350,-0.198,0.027,1.219
56382,-0.216,0.042,1.206
56418,-0.218,0.043,1.227
56453,-0.232,0.043,1.233
56485,-0.219,0.048,1.234
56511,-0.222,0.028,1.264
56550,-0.235,0.042,1.243
56582,-0.246,0.037,1.231
56616,-0.237,0.032,1.236
56655,-0.235,0.043,1.251
56687,-0.235,0.039,1.236
56712,-0.237,0.04,1.244
56750,-0.237,0.045,1.241
56783,-0.24,0.035,1.235
56817,-0.237,0.043,1.234
56852,-0.243,0.035,1.244
56891,-0.216,0.047,1.236
56912,-0.233,0.045,1.239
56949,-0.236,0.036,1.235
56982,-0.24,0.048,1.236
57016,-0.23,0.045,1.244
57058,-0.237,0.038,1.243
57084,-0.23,0.04,1.241
57114,-0.234,0.039,1.249
57150,-0.232,0.033,1.245
57182,-0.238,0.043,1.251
57215,-0.246,0.028,1.245
57252,-0.233,0.036,1.259
57285,-0.226,0.039,1.261
57312,-0.239,0.036,1.263
57350,-0.221,0.036,1.268
57384,-0.225,0.039,1.273
57417,-0.226,0.024,1.289
57455,-0.223,0.035,1.276
57485,-0.22,0.039,1.277
57513,-0.221,0.045,1.272
57547,-0.222,0.052,1.277
57582,-0.218,0.045,1.279
57616,-0.219,0.043,1.281
57650,-0.217,0.046,1.267
57682,-0.215,0.044,1.275
57714,-0.223,0.046,1.283
57746,-0.219,0.048,1.282
57782,-0.217,0.048,1.278
57818,-0.219,0.053,1.277
57848,-0.218,0.04,1.276
57884,-0.216,0.041,1.281
57914,-0.215,0.04,1.276
57947,-0.22,0.049,1.281
57982,-0.222,0.044,1.276
58017,-0.222,0.044,1.28
58048,-0.22,0.044,1.283
58082,-0.225,0.046,1.278
58111,-0.224,0.046,1.274
58143,-0.216,0.041,1.28
58183,-0.221,0.04,1.279
58217,-0.217,0.036,1.273
58250,-0.219,0.033,1.278
58284,-0.216,0.049,1.275
58313,-0.215,0.042,1.276
58346,-0.22,0.046,1.277
58384,-0.217,0.05,1.276
58416,-0.222,0.046,1.274
58448,-0.217,0.047,1.278
58484,-0.223,0.046,1.292
58513,-0.225,0.049,1.28
58547,-0.218,0.056,1.275
58581,-0.224,0.043,1.276
58614,-0.226,0.04,1.276
58646,-0.221,0.044,1.279
58678,-0.224,0.045,1.276
58711,-0.216,0.045,1.277
58744,-0.219,0.046,1.279
58779,-0.223,0.05,1.274
58813,-0.221,0.043,1.278
58848,-0.222,0.045,1.273
58878,-0.223,0.045,1.278
58913,-0.227,0.042,1.277
58944,-0.219,0.049,1.282
58978,-0.225,0.045,1.28
59013,-0.229,0.044,1.283
59046,-0.218,0.044,1.281
59078,-0.223,0.046,1.276
59113,-0.215,0.047,1.277
59145,-0.219,0.041,1.287
59178,-0.221,0.043,1.27
59215,-0.22,0.04,1.277
59247,-0.222,0.041,1.28
59277,-0.22,0.035,1.283
59314,-0.221,0.04,1.279
59344,-0.222,0.045,1.277
59377,-0.222,0.046,1.267
59415,-0.22,0.047,1.282
59449,-0.216,0.047,1.275
59477,-0.223,0.047,1.281
59511,-0.217,0.035,1.259
59545,-0.217,0.044,1.272
59579,-0.221,0.037,1.273
59615,-0.223,0.042,1.266
59646,-0.219,0.042,1.275
59677,-0.219,0.047,1.276
59709,-0.219,0.05,1.278
59744,-0.221,0.045,1.281
59777,-0.217,0.047,1.279
59814,-0.221,0.042,1.275
59848,-0.223,0.045,1.279
59876,-0.222,0.047,1.277
59907,-0.222,0.039,1.272
59944,-0.219,0.035,1.281
59980,-0.22,0.042,1.284
60011,-0.222,0.047,1.276
60049,-0.218,0.045,1.28
60077,-0.216,0.05,1.272
60108,-0.22,0.045,1.282
60148,-0.226,0.046,1.282
60179,-0.219,0.048,1.276
60246,-0.215,0.039,1.279
60274,-0.221,0.043,1.277
60310,-0.221,0.045,1.279
60346,-0.218,0.048,1.282
60380,-0.219,0.039,1.277
60410,-0.233,0.047,1.281
60446,-0.22,0.05,1.288
60475,-0.219,0.041,1.278
60508,-0.217,0.04,1.278
60545,-0.226,0.041,1.276
60576,-0.222,0.043,1.278
60611,-0.217,0.046,1.273
60648,-0.222,0.046,1.282
60677,-0.218,0.042,1.275
60710,-0.218,0.04,1.277
60743,-0.222,0.043,1.28
60776,-0.212,0.047,1.275
60812,-0.217,0.044,1.277
60848,-0.218,0.054,1.28
60876,-0.223,0.04,1.279
60908,-0.22,0.04,1.274
60942,-0.215,0.045,1.274
60978,-0.222,0.042,1.278
61014,-0.215,0.05,1.278
61047,-0.218,0.048,1.277
61076,-0.216,0.049,1.274
61109,-0.215,0.046,1.28
61144,-0.218,0.049,1.279
61180,-0.214,0.043,1.279
61214,-0.217,0.039,1.282
61247,-0.213,0.043,1.283
61275,-0.212,0.049,1.284
61309,-0.207,0.038,1.282
61344,-0.21,0.037,1.281
61378,-0.208,0.047,1.284
61413,-0.215,0.044,1.279
61449,-0.214,0.044,1.282
61476,-0.202,0.049,1.279
61511,-0.218,0.055,1.276
61543,-0.212,0.051,1.279
61578,-0.206,0.053,1.283
61615,-0.209,0.051,1.281
61648,-0.216,0.051,1.288
61677,-0.213,0.044,1.282
61713,-0.211,0.039,1.283
61743,-0.209,0.043,1.28
61777,-0.206,0.051,1.286
61818,-0.207,0.043,1.275
61844,-0.21,0.045,1.282
61876,-0.215,0.042,1.283
61911,-0.196,0.048,1.275
61944,-0.204,0.046,1.28
61979,-0.208,0.042,1.281
62014,-0.204,0.049,1.283
62048,-0.21,0.044,1.277
62075,-0.209,0.05,1.283
62111,-0.207,0.05,1.289
62145,-0.195,0.044,1.275
62177,-0.209,0.047,1.276
62215,-0.206,0.049,1.282
62246,-0.211,0.046,1.281
62274,-0.207,0.046,1.279
62311,-0.207,0.042,1.284
62346,-0.206,0.048,1.278
62375,-0.207,0.039,1.279
62417,-0.208,0.044,1.276
62449,-0.208,0.048,1.276
62477,-0.207,0.049,1.282
62513,-0.212,0.047,1.279
62545,-0.209,0.046,1.281
62577,-0.212,0.046,1.287
62614,-0.21,0.051,1.283
62647,-0.208,0.037,1.286
62678,-0.213,0.05,1.281
62710,-0.208,0.046,1.284
62746,-0.213,0.034,1.281
62780,-0.2,0.049,1.281
62813,-0.208,0.046,1.281
62847,-0.209,0.043,1.282
62880,-0.201,0.042,1.289
62911,-0.203,0.049,1.29
62944,-0.205,0.054,1.284
62983,-0.206,0.051,1.282
63016,-0.203,0.043,1.284
63047,-0.208,0.053,1.275
63080,-0.204,0.054,1.273
63110,-0.215,0.05,1.278
63145,-0.209,0.046,1.284
63179,-0.216,0.042,1.281
63215,-0.216,0.05,1.273
63248,-0.211,0.049,1.279
63282,-0.208,0.046,1.283
63313,-0.208,0.042,1.281
63345,-0.207,0.046,1.285
63380,-0.207,0.045,1.284
63415,-0.208,0.043,1.282
63446,-0.206,0.039,1.286
63480,-0.201,0.047,1.273
63512,-0.209,0.042,1.282
63543,-0.199,0.045,1.282
63579,-0.21,0.032,1.285
63612,-0.214,0.051,1.291
63648,-0.209,0.049,1.282
63680,-0.209,0.046,1.283
63716,-0.215,0.058,1.277
63744,-0.208,0.046,1.28
